Summary,Season,Wedding_destination,Guest,Location,Describing_words,Priority_1,Priority_2,Priority_3,Estimate,Attire_Accessories,Beauty_spa,Entertainment,Flowers_Decorations,Gifts,invitations,Photography,Planner,venue_Catering_rental,Guest_number,range_start,range_end,Cost_per_person,Total_Estimate
How much does a summer wedding in Camarillo CA with 150 to 200 guests cost? The wedding is at a garden or park. The type of wedding is Garden Rustic Modern. The wedding color theme is Pinks. The estimated cost for this wedding is $42704.,Summer Wedding,Camarillo CA,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $244 to the total amount spent.,a garden or park,Pinks,None,None,None,42704,2294,630,346,1652,8530,13227,877,1275,1320,175,0,200,244,72855
How much does a spring wedding in Mobile AL with 150 to 200 guests cost? The type of wedding is Garden Unique Modern. The wedding color theme is Other. The estimated cost for this wedding is $42485.,Spring Wedding,Mobile AL,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $243 to the total amount spent.,Other,None,None,None,None,42485,2005,642,214,240,1338,9020,2308,2719,1012,175,0,200,243,61983
How much does a spring wedding with 50 to 100 guests cost? The wedding is at a garden or park. The type of wedding is Casual Traditional Intimate. The wedding color theme is Blues. The estimated cost for this wedding is $19632.,Spring Wedding,None specified,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $262 to the total amount spent.,a garden or park,Blues,None,None,None,19632,3230,234,312,320,1085,2650,809,2021,194,75,0,100,262,30487
How much does a fall wedding in Dayton OH with 25 to 50 guests cost? The ceremony is at a church or other place of worship and reception is at a restaurant. The type of wedding is Romantic Vintage Intimate. The wedding color theme is Pinks. The estimated cost for this wedding is $11363.,Fall Wedding,Dayton OH,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $299 to the total amount spent.,a church or other place of worship,Romantic Vintage Intimate,Attire & Accessories (Wedding Dress Suit etc.),Event Food Service Catering Bar Service,Photography & Video,11363,2082,58,253,1204,604,95,3534,445,2950,38,0,50,299,22588
How much does a spring wedding in Gloucester MA with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Garden Rustic Farm/Barn. The wedding color theme is Purples. The estimated cost for this wedding is $35786.,Spring Wedding,Gloucester MA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $286 to the total amount spent.,an event facility,Purples,None,None,None,35786,3407,428,196,325,4902,10597,3224,544,306,125,0,150,286,59715
How much does a spring wedding in newf with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Garden Rustic Farm/Barn. The wedding color theme is Purples. The estimated cost for this wedding is $45527.,Spring Wedding,newf,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $364 to the total amount spent.,an event facility,Purples,None,None,None,45527,3407,428,301,325,7111,7427,1522,3224,544,125,0,150,364,69816
How much does a spring wedding in Brattleboro VT with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Garden Rustic Farm/Barn. The wedding color theme is Purples. The estimated cost for this wedding is $47946.,Spring Wedding,Brattleboro VT,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $384 to the total amount spent.,an event facility,Purples,None,None,None,47946,3407,870,253,288,5672,13721,3126,3486,750,125,0,150,384,79519
How much does a winter wedding in Greenville NC with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Fun Rustic Vintage. The wedding color theme is Reds. The estimated cost for this wedding is $13499.,Winter Wedding,Greenville NC,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $180 to the total amount spent.,an event facility,Reds,None,None,None,13499,2017,274,216,2704,3838,1740,227,2130,0,75,0,100,180,26645
How much does a fall wedding in Flagstaff AZ with 50 to 100 guests cost? The wedding is at a church or other place of worship. The type of wedding is Rustic Traditional Vintage. The wedding color theme is Other. The estimated cost for this wedding is $15190.,Fall Wedding,Flagstaff AZ,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $203 to the total amount spent.,a church or other place of worship,Other,None,None,None,15190,2298,286,155,265,2619,4421,1746,321,221,75,0,100,203,27522
How much does a fall wedding in Pittsburgh PA with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Elegant Formal Traditional. The wedding color theme is Black. The estimated cost for this wedding is $46070.,Fall Wedding,Pittsburgh PA,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $263 to the total amount spent.,a church or other place of worship,Elegant Formal Traditional,Event Location/Venue,Flowers & Decorations,Photography & Video,46070,3001,779,215,288,1065,10949,2801,3214,986,175,0,200,263,69368
How much does a spring wedding in Encinitas CA with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Elegant Unique Intimate. The wedding color theme is Other. The estimated cost for this wedding is $32075.,Spring Wedding,Encinitas CA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $428 to the total amount spent.,an event facility,Other,None,None,None,32075,2315,284,243,1283,4706,7469,1126,238,325,75,0,100,428,50064
How much does a summer wedding in Hattiesburg MS with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Fun Vintage Intimate. The wedding color theme is Oranges. The estimated cost for this wedding is $16995.,Summer Wedding,Hattiesburg MS,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $227 to the total amount spent.,an event facility,Oranges,None,None,None,16995,1407,254,149,230,3806,4004,1617,361,392,75,0,100,227,29215
How much does a fall wedding in Nashville  with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at a garden or park. The type of wedding is Formal Fun Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $39558.,Fall Wedding,Nashville,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $226 to the total amount spent.,a church or other place of worship,Formal Fun Traditional,Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,Flowers & Decorations,39558,3483,636,183,251,3826,10279,2323,3076,1136,175,0,200,226,64751
How much does a summer wedding in Atlanta GA with 150 to 200 guests cost? The wedding is at a ranch. The type of wedding is Garden Unique Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $37485.,Summer Wedding,Atlanta GA,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $214 to the total amount spent.,a ranch,Greens,None,None,None,37485,2216,608,244,4002,8699,9550,2725,1090,918,175,0,200,214,67537
How much does a fall wedding in Milwaukee WI with 50 to 100 guests cost? The wedding is at a country club or golf course. The type of wedding is Elegant Formal Romantic. The wedding color theme is Reds. The estimated cost for this wedding is $27141.,Fall Wedding,Milwaukee WI,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $362 to the total amount spent.,a country club or golf course,Reds,None,None,None,27141,811,244,217,273,4972,2685,863,1208,207,75,0,100,362,38621
